Problem,Duration,Answer,Error
problem1::part1,0.079,52974,
problem1::part2,0.767,53340,
problem2::part1,0.789,2331,
problem2::part2,0.696,71585,
problem3::part1,0.366,532331,
problem3::part2,0.341,82301120,
problem4::part1,0.882,27845,
problem4::part2,0.606,9496801,
problem5::part1,0.17,1181555926,
problem5::part2,0.093,37806486,
problem6::part1,0.009,503424,
problem6::part2,0.009,32607562,
problem7::part1,0.758,247961593,
problem7::part2,0.721,248750699,
problem8::part1,0.778,19951,
problem8::part2,12933.286,16342438708751,
problem9::part1,0.191,1666172641,
problem9::part2,0.196,933,
problem10::part1,3.687,6870,
problem10::part2,18.652,287,
problem11::part1,1.215,9521550,
problem11::part2,0.597,298932923702,
problem12::part1,2.039,7694,
problem12::part2,27.59,5071883216318,
problem13::part1,0.321,34911,
