Problem,Duration,Answer,Error
problem1::part1,0.07,52974,
problem1::part2,0.639,53340,
problem2::part1,0.516,2331,
problem2::part2,0.284,71585,
problem3::part1,0.24,532331,
problem3::part2,0.272,82301120,
problem4::part1,0.743,27845,
problem4::part2,0.601,9496801,
problem5::part1,0.13,1181555926,
problem5::part2,0.08,37806486,
problem6::part1,0.012,503424,
problem6::part2,0.009,32607562,
problem7::part1,0.701,247961593,
problem7::part2,0.597,248750699,
problem8::part1,0.675,19951,
problem8::part2,13302.827,16342438708751,
problem9::part1,0.206,1666172641,
problem9::part2,0.167,933,
problem10::part1,3.513,6870,
problem10::part2,12.562,287,
problem11::part1,0.694,9521550,
problem11::part2,0.603,298932923702,
problem12::part1,1.951,7694,
problem12::part2,23.093,5071883216318,
problem13::part1,0.241,34911,
problem13::part2,0.44,33183,
problem14::part1,0.122,107053,
problem14::part2,39.192,88371,
problem15::part1,0.481,522547,
problem15::part2,1.523,229271,
problem16::part1,2.133,6883,
problem16::part2,147.993,7228,
problem17::part1,36.533,970,
problem17::part2,112.99,1149,
problem18::part1,9.229,35244,
problem18::part2,17.252,85070763635666,
problem19::part1,1.324,532551,
problem19::part2,50.594,134343280273968,
problem20::part1,3.541,883726240,
problem20::part2,15.031,211712400442661,
